#Name    TICID
Kepler-1629b 351766445
Kepler-1630b 273237673
Kepler-1631b 271159855
Kepler-1632b 271046694
Kepler-1633b 158789121
Kepler-1634b 270857293
Kepler-1635b 164891054
Kepler-1636b 270854684
Kepler-1637b 48131596
Kepler-1638b 27529656
Kepler-1639b 48217852
Kepler-1640b 377915723
Kepler-1643b 239307743
Kepler-1644b 279917005
Kepler-1645b 28229515
Kepler-1646b 158552258
Kepler-1650b 273502299
Kepler-1652b 27187450
Kepler-1653b 184561612
Kepler-1654b 123417316
Kepler-1655b 120973167
Kepler-1656b 120255950
Kepler-1663b 407001589
Kepler-1664b 399860388
Kepler-1665b 122442334
Kepler-1667b 48353636
Kepler-1668b 273132513
Kepler-1669b 169457234
Kepler-1670b 159375845
Kepler-1671b 137337090
Kepler-1672b 170236331
Kepler-1673b 377782148
Kepler-1674b 271256817
Kepler-1675b 350987771
Kepler-1676b 158422963
Kepler-1677b 274198958
Kepler-1678b 137687119
Kepler-1679b 27006340
Kepler-1680b 169079027
Kepler-1681b 272602477
Kepler-1683b 274126997
Kepler-1684b 270789362
Kepler-1685b 272270869
Kepler-1686b 63005636
Kepler-1687b 416281238
Kepler-1688b 122068161
Kepler-1689b 137218786
Kepler-1690b 121462999
Kepler-1691b 120819731
Kepler-1692b 158324044
Kepler-1693b 406948151
Kepler-1695b 270618467
Kepler-1696b 271755153
Kepler-1697b 158551360
Kepler-1698b 138105005
Kepler-1699b 26584080
Kepler-17b 273874849
Kepler-1700b 158325998
Kepler-1701b 120899838
Kepler-1702b 164830907
Kepler-22b 158984573
Kepler-39b 272836943
Kepler-4b 350814622
Kepler-40b 272840455
Kepler-408b 48450369
Kepler-409b 270619260
Kepler-41b 271042217
Kepler-412b 158170594
Kepler-421b 164522394
Kepler-422b 123495874
Kepler-423b 63452790
Kepler-425b 122441491
Kepler-426b 299220166
Kepler-427b 158668572
Kepler-428b 122596693
Kepler-43b 164892194
Kepler-433b 169556484
Kepler-434b 270611401
Kepler-435b 63211674
Kepler-437b 273138666
Kepler-438b 336266673
Kepler-439b 123202589
Kepler-44b 239277658
Kepler-440b 120495880
Kepler-441b 267667567
Kepler-442b 120499135
Kepler-443b 299030246
Kepler-447b 48506505
Kepler-452b 272174474
Kepler-461b 63206513
Kepler-463b 268481319
Kepler-464b 27239696
Kepler-465b 164725204
Kepler-467b 121214078
Kepler-468b 299087490
Kepler-470b 27992902
Kepler-471b 268604331
Kepler-472b 184554925
Kepler-473b 120961632
Kepler-474b 63210391
Kepler-475b 121108727
Kepler-476b 271430806
Kepler-478b 63289259
Kepler-479b 122682249
Kepler-480b 27187218
Kepler-481b 26541093
Kepler-482b 27987264
Kepler-483b 137342400
Kepler-484b 164721759
Kepler-485b 27318774
Kepler-486b 48451130
Kepler-488b 48217457
Kepler-489b 122607554
Kepler-490b 271424111
Kepler-491b 158388163
Kepler-492b 271749758
Kepler-493b 139104940
Kepler-494b 169176556
Kepler-495b 120692092
Kepler-496b 137341066
Kepler-497b 122605766
Kepler-498b 159384648
Kepler-499b 271430916
Kepler-5b 268823307
Kepler-500b 271968263
Kepler-501b 169176340
Kepler-502b 159578156
Kepler-505b 158631520
Kepler-506b 120317234
Kepler-507b 27992970
Kepler-508b 271671025
Kepler-509b 416283848
Kepler-510b 121327187
Kepler-511b 164456037
Kepler-512b 28448711
Kepler-513b 48503953
Kepler-516b 184085929
Kepler-518b 121112251
Kepler-521b 268302011
Kepler-522b 158657354
Kepler-523b 164654277
Kepler-525b 272279290
Kepler-526b 273377282
Kepler-527b 159642269
Kepler-528b 271877680
Kepler-531b 243272677
Kepler-532b 264507945
Kepler-533b 26962715
Kepler-534b 27847148
Kepler-535b 351192037
Kepler-536b 28234096
Kepler-537b 267673013
Kepler-540b 159452015
Kepler-542b 137484431
Kepler-543b 121123361
Kepler-545b 122446089
Kepler-546b 237158650
Kepler-547b 158171456
Kepler-548b 269269546
Kepler-550b 273376082
Kepler-551b 350812580
Kepler-552b 417659456
Kepler-554b 27843707
Kepler-555b 120572779
Kepler-556b 122449752
Kepler-557b 138222081
Kepler-558b 164730843
Kepler-559b 272488625
Kepler-562b 159301821
Kepler-563b 63289401
Kepler-564b 272838324
Kepler-565b 164556745
Kepler-566b 159727092
Kepler-567b 28231454
Kepler-568b 28361088
